Name,description,url,developerID
Pixar,"Pixar is a renowned animation studio that has created some of the most beloved and critically acclaimed animated films of all time. Founded in 1979 as the Graphics Group, the studio started as a computer hardware company before transitioning to computer animation and eventually becoming a part of the Walt Disney Company.

Pixar's films are known for their innovative storytelling, stunning animation, and emotional depth. From the groundbreaking Toy Story, the first feature-length computer-animated film, to the heartwarming stories of Up and Inside Out, Pixar has consistently pushed the boundaries of animation and storytelling.

The studio is home to a talented team of artists, writers, and animators who collaborate to create films that entertain and inspire audiences of all ages. Pixar's films often explore complex themes and emotions, such as the power of friendship, the importance of family, and the challenges of growing up.",https://pixar.com.br,Q1HtiddP
Marvel,"The process of working at Marvel as an actor typically begins with auditioning for a role. Marvel Studios is known for casting actors who embody the essence of the characters they portray, so it is important to be well-versed in the comic book source material and understand the unique traits and motivations of the character you are auditioning for.

Once cast, you will work closely with the director, writers, and other actors to bring the character to life on the big screen. Marvel films are known for their intricate storylines, impressive action sequences, and attention to detail, so you",https://marvel.com,i9Tzj30i
Product owner,"I have worked with senior POs and cross-functional teams to establish product roadmap, strategy, and long term vision.
I have drove feature development from start to finish; rapidly iterate and improve the feature through collaboration with key stakeholders.
I have defined and analyze metrics for the feature developed; assess and report on its success and health.
Efficiently apply both quantitative and qualitative approaches to inform product direction and feature decision.
Prioritize stories, epics, and themes to ensure work focuses on those with maximum value that are aligned with product strategy. I have worked with Jira, Trello and Asana.
I have Analysed the business requirements and technical specifications of different Marketplaces APIs (Mercado Libre, Bling, Shopee, Americanas, etc) and aligned their needs with stakeholders from business, customers, and the development teams.
I have worked with Data-as-a-Service delivered via APIs projects.
I have presented and explained information in an accessible way(e.g Explanation videos)
I have allocated resources and maintaining cost efficiency.
I have managed projects, developing project plans, and monitoring performance.
I have ensured solutions met business needs and requirements.
",https://gobots.ai/,NWufk3yP
Dream Lounge,"This web app is TikTok meets WattPad. It's a social media app for branching fiction. Instead of swiping through videos, the user swipes through the latest scenes of these ongoing 'choose your own adventure' style stories. 
",https://dreamlounge.com/version-test/,xwNllpby
Waymaker.ioex,"Waymaker is the intelligent business growth platform that helps you diagnose gaps, plan the roadmap and deliver goals.
In 20 minutes Waymaker’s diagnostic and smart algorithms reveal where to improve, how to grow and stays up to date all the time. Like a smart watch listens, diagnoses, tracks and empowers a user to set goals for a healthy life; Waymaker listens, diagnoses, tracks and empowers users to set goals for dynamic business growth.
With Waymaker.io you can:
Manage your tasks and to-do list on the go
Create & manage task boards
View tasks by status on the task board and swipe through the swim lanes
Create and manage tasks - add checklists and chat with the team
Keep goals and outcomes up to date and moving forward
Create & manage goals
View goal details
Add & manage outcomes, add goal related tasks and launch the goal channel
Review your plan and update it whenever you need to
View goals by status and swipe through swim lanes
Filter goal data
Manage & edit goals
Keep your finger on the business pulse
Review your diagnostic data on the leadership curves
Ideate and create goals to address areas of growth
Chat
Keep up to date and communicate with the team on any channel
@mention the team to notify them directly",https://apps.apple.com/by/app/waymaker-io/id1613321405,isvdxdte
MailHold.io,"- Used Make.com to build MailHold.io to pause all emails for delivery until a fixed time every day, releasing all emails from starred Gmail contacts immediately.
- Built a custom-curated news website from bookmarklet to email newsletter delivery, including content summarization, standardization, categorization, and image selection.
- Developed a custom strategic planning, goal, and employee objective alignment tool with Knack.
- Built a semi-automated paid search campaign creation wizard for Google AdWords with Filemaker.
- Created a domain name sales data scraper and multi-model resale price valuation tool using Filemaker and SEMRush.
- Built a multi-job board search tool driven by a resume, using AI to extract search concepts and execute the query with Bubble, Google Cloud, and Make.com

",https://MailHold.io,G2ldXIZP
SuperWorldApp,"SuperWorld is a virtual world in augmented reality (AR), digitally mapped over Earth. Every plot  of virtual real estate in SuperWorld is a non-fungible token (NFT) that corresponds to real world space and lets users buy and sell properties, and monetize activity on their land.
",https://www.superworldapp.com/,LdRI5WGA
NoCode Databases,"NoCode Databases is an extension that allows you to easily copy and paste pre-built database models into your Bubble applications.

Built by professional Bubble developers, NoCode Databases boasts a collection of powerful database models to help you expedite your app creation, while also providing you with a strong foundation to give your Bubble applications the best chances to scale! 

NoCode Databases features full builds, which contains every data type, field and option set required to build entire applications like marketplaces, SaaS tools, and so much more. 

NoCode Databases also offers building blocks which are database configurations for smaller feature sets such as a blogging, e-commerce, forums, invoicing, and more.

And finally, NoCode Databases features a strong set of “foundations” that you can use to quickly lay the foundation for your new bubble applications 

",https://nocodedatabases.com/,cA4L65O6
Document generation using data from Google Sheets,"📣 I've made a script that can automatically generate any document using data from Google Sheets 📝 It can be used to create invoices, proposals, certificates, reports, update presentations, etc... one at a time or in bulk. It works with templates made in either Google Slides or Docs.
",https://www.linkedin.com/feed/update/urn:li:activity:6912666830901792768/,TTf4bpXk
How to get Linkedin profiles in Google Sheets with a formula,"Some time ago, I made a custom Google Sheets formula to automatically get the Linkedin profile of a person/company. I didn't want to do it by hand, so it saved me a bunch of time 😎 It can be helpful to anyone using Google Sheets as a CRM, recruitment, product feedback, or marketing tool.
",https://www.linkedin.com/pulse/how-get-linkedin-profiles-google-sheets-aformula-giacomo-melzi/,FfaJH5Ok
Split Lease,"The property sharing industry is inefficient, where property owners are often over quoted on taxable income, lose months of income from lack of winter demand, experience problem tenants and painful evictions.

We are solving these problems by building linking a new class of traveler, the business traveler to rent part-time homes months at a time.
",https://www.split.lease/?index=true,Hnxuf8o7
Medella,"Medella brings the first Universal Electronic Healthcare Record, giving you full access to your medical records, anytime, anywhere –secured with our state-of-the-art blockchain technology.


Medella aims to streamline the way you access and manage your medical records, including the records of your dependents, whether two or more-legged!


Rest easy knowing you and your loved ones’ are also protected with our Emergency Healthcare Record technology. Introducing the M-Card, an innovative digital medical ID that has all of your official healthcare records readily accessible in case of an emergency –critical if you are unconscious!

Use the M-card during your routine checkups and urgent care visits, simply by scanning your card at the reception desk. All of your medical information can travel with you and your family, avoiding annoying paperwork and wait times.


Reasons you’ll love Medella:


Gather all of your medical records in one place, regardless of the hospital network

Manage your and your loved one's records, including prescriptions and tests!

Parents and children can carry their own M-Card, in case of an emergency.

Medella works for your pet the same way it does for your family. Organize your pets’ medical records for your next visit at any vet or emergency room.

Medella is always free, for everyone!
",https://apps.apple.com/us/app/medella/id1598095067,bStWoozP
Athyna Talent Market place and Payment Solution,"Athyna, is a full scale bootstrapped Talent management solution specially designed for Remote teams. From Hiring to managing overtime and payments, Athyna covers it all. I have developed this platform since scratch and for about 4 years working as a core team lead on bubble development.

It was developed on top of bubble, custom javascript plugins and third party integrations like make.com, stripe and webflow for the frontend.",https://athyna.io/,AV3IaxyR
JobOS - Formerly Startwise ,"Developed JobOS a full scale SaaS platform built on bubble which helps global teams hire and manage the onboarding processes of their talent. JobOS covers all 4 steps of the talent management lifecycle including hiring, onboarding, evaluation and reporting.

I have built this platform from ground up, since their launch and used native bubble, custom JS snippets and custom bubble plugins for this purpose.",https://app.startwise.io/,oA8eO0co
yuanziai ( Word AI),"1. Select corresponding tools according to content type
From the small red book notebook to the Amazon product description, perfect creation starts with accurate selection tools

2. Enter information to generate content
Just enter a few keywords to generate the ideal copy, ten million style, customized by you

3. View the generated results
After waiting for a few seconds, you can view the generated results",https://www.yuanziai.com/landing,JB13Ckyd
School Management System,"Its a proper school management system students reports  cards exam marks class performance etc. also there is login for teacher , parents and headmaster the login details is given below
For Parent:
Username : Ahmed Ali Password : 123456
Username :  Ali Password : 123456
For HeadMaster:
UserName: HeadMaster2 Password: 123456
For Teacher:
UserName: Teacher2 Password:123456",https://personal-0ibuw7gt.outsystemscloud.com/sms/Login,ztEO3vzY
I-Ally,"A community-driven web app with a dashboard that looks like a feed of social posts; everyone creates a profile/about page for themselves, can direct message with other users, can access resources, blog posts, articles, can sign up for discounted services, can schedule coaching sessions, and can register for and attend events and webinars within the web app. They can also pay for subscriptions and a-la-carte items via Stripe. 
",https://i-ally.com/,NC8G343c
HITEC,"As a web developer, I would describe HITEC as a premier event that brings together experts, innovators, and industry leaders from around the world to showcase the latest technologies and advancements in the hospitality industry. With a focus on education and knowledge-sharing, HITEC offers attendees a unique opportunity to learn from the best and stay ahead of the curve in this dynamic and fast-changing field. As a developer, I am proud to have been a part of building the platform that powers this important event and contributes to the success of the hospitality industry.",https://hitec.webflow.io/,JnR24ZOR
Bitfound,"As a web developer, I worked on a project called Bitfound - a platform for distributed data science and AI. Bitfound offers a unified solution to manage and distribute datasets, making even the most intractable data interactable. With Bitfound, we aim to power deep data collaborations without compromising data sharing. As a web developer, I contributed to building a user-friendly platform that enables data scientists to work together seamlessly and achieve better outcomes.",https://bitfount-new.webflow.io/,ig8Nj817
Unmind,"Unmind is a fascinating project to work on. Unmind is a cultural change platform for mental health and wellbeing, that aims to create a psychologically safe and engaged culture for employees. The platform empowers employees to lead more fulfilling lives, by offering various mental health and wellbeing programs.

As a developer, my role would involve building a user-friendly platform that is easy to navigate and provides an immersive experience for the users. I would ensure that the platform is optimized for all devices, with smooth transitions and animations. Additionally, I would work to implement advanced features such as personalized recommendations and user analytics.

Overall, working on a project like Unmind would be rewarding, as it involves building a platform that can have a positive impact on people's lives, and contributing to the goal of creating a healthier and happier workforce.",https://unmind-v2.webflow.io/,gNRulQa0
UFO Drive,"I worked on UFODRIVE, a radical car rental service that provides customers with a fast and seamless booking experience from their smartphones. The service offers an all-electric fleet of top-of-the-line vehicles including Tesla Model 3 & Y, Polestar, Volkswagen, Cupra and more. As part of the development team, my responsibilities included designing and implementing a user-friendly interface that allowed customers to easily search for and book their preferred vehicle. Additionally, I helped ensure that the platform was optimized for mobile devices, so customers could book their rentals on-the-go. Overall, UFODRIVE was an exciting project that allowed me to hone my skills as a web developer and contribute to an innovative service that is redefining the car rental industry.",https://www.ufodrive.com/,V7TLbQ2m
Task Manager,"This task manager allows the user to keep track of their projects. Each project can have its own tasks, so the user can have a more microscopic view of the whole thing. You can add or remove people from a project. You can check pending, ongoing and finished projects. Finally, you can add files, such as excel and pdf to a project, as well as web links. Please, check the video for more information. ",https://youtu.be/A45mJxIZUCs,ILmiOrUN
payfy,"payfy is a Brazillian team expenses management and prepaid credit card emitter. The app was developed using Flutter using the BLoC pattern, and is integrated with Firebase, Zendesk and other services. ",https://payfy.io/,yi2mnwdZ
FitWay app,"This is a fitness web application made for personal trainers and their clients. In this app, the personal trainer can prescribe workouts, keep track of their clients' evolution and conduct evaluations using forms and questionnaires. It also allows easy communication between the two parties. There are extra features such as chat with support, birthdays, grades and others. ",https://youtu.be/W0M8aYQ-XCg,D0P6AUM0
FitWay App,"This is a fitness web application for personal trainers and their clients. In this app, the professional can register clients, track their progress, and conduct evaluations in order to develop their client's workout protocol. The FitWay app can be assessed from both the client and the personal trainer, each with its own view and user interface. There are several extra features, such as chat, birthday, grades and others, ",https://youtu.be/W0M8aYQ-XCg,DBkCluNu
Sebrae Startups,"I have worked on this project since its inception. Design, UX, Database etc, all made by myself.

Sebrae is a public/private entity, which offers several resources for startups in Brazil and the world.

Specifically in this case, the Sebrae in my state is where the strongest technological center in Brazil is concentrated.

With that, Sebrae saw the need to create a platform for a specific sector that is ""acceleration programs"".

I work directly with the person responsible for this sector, who controls all registrations of startups that apply for sebrae programs.

Several startups are born and grow along with these programs.

Until then, sebrae did not have an organized control of these programs, nor of their records, each information was in a different tool.

That's where I came in to solve their pain. I created a platform where everything is concentrated in a single ecosystem.

Both part of admin, startups profile, evaluator profile and etc.

Now it is possible to have complete control of who enrolls in the programs and thus it is possible to obtain all the data that was extremely important, in a single place.",https://programas.sebraestartups.com.br,QyRMZBo5
BPM Riders,"BPM Riders is a business development company, that helps optimize processes and saves money for other companies involved in the real estate business. Our goal was to create a website that convinces people about the importance of business processes management systems and strategies.",https://www.bpmriders.com/,qy2Utrgf
Einsal East,"Einsal East project is the website for the industrial company, that sells metals and aviation parts. 
It contains a search console for the parts with clearly defined fields so that it makes it easy to search for the right staff. When building this project we tried to represent the style of the company and highlight its strengths such as quality certificates and impressive experience in the field of metals, aviation, and engineering.",https://www.einsal-east.com/en/home,8axgpo5V
Fysioo,Fysioo project is the desiccated website for the physiotherapy specialist Wojciech Gaj. It is designed to target the right customer segments and visualize each of them right on the hero page. The Fysioo website serves as an informative site by which it's possible to book a physiotherapy visit.,https://fysioo.webflow.io/,0Snra0bv
Content Management System,"Math CMS (Content Management System) is a specialized software application that is designed to help educators and students manage and publish digital content related to mathematics. Math CMS typically includes features such as equation editors, graphing tools, and mathematical notation support, making it easier to create, edit and publish math-related content.",http://mathbohol.site/,lfRgagS0
Wilmington Wellness,An interactive platform for locals in the Wilmington area who are desiring to connect with others through a healthier lifestyle. Running more than just an events calendar – it’s fostering a community of locals through wellness groups from around the region.,https://nicoletrojanowski.com/portfolio/wilmington-wellness/,nOXWmIyn
Soji Listings,"Soji Listings is an online business directory web application, that was designed specifically to provide service finders, businesses that offer good services, and good customer relationships in Delta State, Nigeria.",https://sojilistings.glideapp.io,ErKw3bNE
ServiceNow Office Templater,"With the ServiceNow Office Templater, you can easily create professional, customizable templates for all your office needs. From emails and memos to presentations and reports, our ServiceNow application has you covered.",https://www.linkedin.com/services/products/convevo-servicenow-office-templater,j9Ls0pvK
The Whole Bean,"This project entailed creating deliverables that included a color scheme, typography, logo, icons, imagery, and social media headers. These were all brought together in a Brand Style Guide that ensures that the brand identity will be consistent.",https://martinaanderson.com/p/e8215838/thewholebean,EtPVsAo8
World Cup 2010 iOS app,"I was responsible for the majority of the coding for a 9-month long project using Objective C. The design team also made significant contributions to the project.
The app, which was a comprehensive resource for the World Cup, included features such as the history of past tournaments, trivia, statistics, information on participating countries, host country details, stadium information, a calendar to track the progress of the current World Cup, a simulator for predicting the outcomes of future matches, a Twitter client, and push notifications.
At the time of its release, the app was the number one sports app in Brazil.
While the app is no longer available, articles about it can still be found online (in Portuguese)",https://macmagazine.com.br/post/2009/12/28/fingertips-lanca-copa-do-mundo-aplicativo-completissimo-e-indispensavel-para-o-seu-iphoneipod-touch/,jjVzJU0l
Job listings,"I am proud to present a job listings web app built on the powerful Canvas framework that allows users to create and search through custom listings. The app includes three main pages with unique features, such as searching listings by name, type, industry, and salary range, applying for jobs via customizable popups, and updating company information on the Account page. Advanced functionality, like preventing incomplete or inaccurate listings and handling deletion to prevent orphan data, improve the user experience. This app is a testament to the versatility and functionality of no-code development.",https://joblistings-nando.bubbleapps.io/version-test/,G6W75twU
Product hunt clone,"I have built a Product Hunt Clone app that allows users to view and vote on products, browse a list of products with multi-select dropdown filters and sorting options, and view detailed product information and comments. 

The app also features a Post page where logged-in users can submit new products with mandatory fields, list of tags, as well as images. The app-wide logic includes user login/signup and logout functionality, which redirects the user to the home page upon logout, and an app logo that redirects to the home page. ",https://product-hunt-nando.bubbleapps.io/version-test,XJTlrcLz
onWash,"I patnered with a local laundry buiness to develope a web app for laundry pickup. This app. is built with bubble and allows customers to schedule a laundry pickup.

On backend, a driver is assigned and routes are made daily using onfleet API. While drivers have a QR code printer, which prints a uniqe QR code for each bag.",https://onwash.ca,PqMhW25N
Study Cards,My first app released in Google Play Store (mainly for my portfolio). It allows the user to create cards and save/share them. My inspiration was the Japanese students that use cards to study for tests. ,https://play.google.com/store/apps/details?id=com.pendiuk.study_cards,jWZ6aF1K
My Website,"This is my portfolio website. I must say that I'm making changes all the time because I also use it to test platforms. The first version I made using Vue.JS, but in the currently one I've tested the web development option of Flutter.",https://pendiuk.com,VgEZ9XtQ
Dežman Bar & Mini Bar,"Dezman Bar & Mini Bar website creation goal was to make a modern site that resonates with bar's elegant and cozy aesthetic. Located in the Zagreb center, Dezman bar and mini bar are two entities separated with terrace.",https://www.dezman.hr/,KR8myydb
Krznarija Dvoravić,"Krznarija Dvoravić is a Zagreb-based (Croatia) luxurious furrier shop. They are focused on providing traditionally crafted fur coats, jackets and accessories. They needed new, modern and elegant website to capture new leads and showcase what they do.",https://krznarija-dvoravic.com/,Cmc3ubf1
Tvrđa,"Tvrđa is a Croatian culture magazine, created in 2000 as a printed form. They focus on various aspects of research from philosophy, sociology, political science, theory of contemporary art, media and visual studies to literature. They needed website to reach more international public with articles written in english on the beforementioned aspects of research.",https://tvrdja.com/,5GPJMv0I
rapid boost marketing,"Rapid Boost is a GROWTH PARTNER not an external marketing agency. We promise more revenue and profits PERIOD!

‍With the overwhelming majority of clients, we can generate major windfalls of revenue in their business within the first 30 days.",https://www.rapidboostmarketing.com/,S0GOhS6J
prowse chowne,"Over the last half-century, Prowse Chowne LLP has built and maintained a reputation for excellence and leadership in many practice areas.

Our firm is not only a trusted name among all courts, tribunals and corporate institutions but also a known and trusted name within the community.

At Prowse Chowne LLP, our ultimate goal is to provide the highest quality legal services in a timely and efficient manner.

Are you facing a difficult legal situation but can't seem to find an attorney?
",https://www.prowsechowne.com/about,7IWmOMzJ
northgate industries,"Modular-based solutions to meet needs of Forestry, oil and gas, mining, mineral distraction, Education and other sectors.

Health and Safety issues are given utmost consideration.

Customizable solutions including bedrooms, recreational facilities, kitchens etc.",https://www.northgateindustries.com/,oCmRx0G1
KTS Advertising,"KTS Advertising Group has been offering Direct Mail Advertising and Marketing services for over 20 Years. Over that time we have expanded our portfolio of service offerings to address the changing needs of our customers and the marketplace. Our range of services include Direct Mail Preparation under our Canada Post Smartmail Marketing Partner designation, Digital Marketing, Data Management, Graphic and Website Design plus a full scope Print Services.",https://www.keytosavings.com/about-us,KVcpy82L
hml construction,"Established in 1999, HML has grown into an all-inclusive solution for landscape construction. With seven trades, landscape designers and horticulturists in their employ. As well as all of the necessary equipment for any task from grading to concrete, HML is equipped for all sizes of projects. Over the last 20 years, HML’s clientele has grown consistently throughout Edmonton, St. Albert, Spruce Grove, Sherwood Park, Beaumont and surrounding areas.",https://www.hmlconstruction.ca/,c6cdsI46
capital plumbing,"Our Plumbing and Heating specialists are here to serve you by offering transparency and reliability on each job site – no matter the circumstances. We offer professional plumbing, heating, and cooling services that aim for customer satisfaction from the very first phone call to the last walkthrough on each job.",https://capitalplumbing.ca/,uxl28EZD
asr engineers,"ASR Engineers (Architectural Home Designers and Consulting Structural Engineers) has been providing Structural Engineering Design, Home Design, and Project Management Services on all types of buildings for Architects, Contractors, and Private Clients.

Following a huge demand for our Project Management services, we recently commenced management services to our design clients during the construction phase of the projects.
",https://www.asrengineers.ca/,u9h0gaIJ
Tarazconcept,"I am designing a website for a aesthetician, she had limited budget and wanted to build a website where she could sell products and also sell courses, I took on the project and used the Carrd platform to design it. I used the paystack marketplace to sell the products, so each product on the shop in the website has a direct link to paystack where clients can make purchases, for the videos I connected the pay button to paystack and after payment the user gets a download link for the video.",https://www.tarazconcept.com,tViLNVew
Samzuga billionaires club,"Icon image
Samzuga Billionaires Club
About this app
Introducing the exclusive app for the billionaires! Samzuga Billionaires Club offers a private and secure platform for billionaires to connect, network,make secure transactions.

With features such as deposit, withdraw, diverse wallet system, you'll never miss out on an opportunity to connect with other members of the billionaire club.",https://play.google.com/store/apps/details?id=com.samzuga.samzugabillionaires,yuUFulk5
Jyotirgamaya mobile app,"Flutter app for online learning platform with subscription-based courses. Features include course search, enrollment, assessments, and progress tracking, as well as course content management for instructors",https://play.google.com/store/apps/details?id=com.cocolabs.educad_mobile,FMu7zVaR
Space Tourism Web-App,"Let’s face it; if you want to go to space, you might as well genuinely go to outer space and not hover kind of on the edge of it. Well sit back, and relax because we’ll give you a truly out of this world experience!",https://space-toursm.netlify.app/,4z8OGOTq
Petco: The Pet Parents Partner,"The Petco app is the Pet Parent's Partner. Use it to expertly pamper your pet both online and in our stores.
Did you know grooming is an essential part of your pet's health and wellness? Schedule an appointment to meet your new groomer - a skilled stylist who understands the care and attention your pet needs based on their age, breed, hair and skin. Plus, members can unlock the grooming perk in the app and receive a free 8th groom. Need to rebook, reschedule or cancel? You can do that in the app as well.",https://apps.apple.com/us/app/petco-the-pet-parents-partner/id1368715736,MAsW242Z
box-to-box: Soccer Training,"Practice your soccer skills offline with the box-to-box app!

box-to-box offers the soccer training drills you need to practice at home, improve, and learn soccer without a coach.

All the soccer training drills available in box-to-box were designed by a pro soccer coach. With a ball and your phone, you can practice offline when and where you want. You can improve your soccer juggling, shooting, passing, or stamina with awesome training drills and become the next big thing in US soccer!",https://play.google.com/store/apps/details?id=de.streetkickers&hl=en&gl=US,l4rM3tDV
GOL | Grace Of The Lord,"The GOL App is a mobile application to connect the faith community with the members and guests to their local church.This app includes church relevant events details, video of messages, prayer and visit request ,songs and lyrics ,bible and much more",https://apps.apple.com/se/app/gol-grace-of-the-lord/id1550173756?l=en,J3ogNKvi
IOTA4U,"IOTA4U is user friendly mobile app for smart farm analyses, are devices that monitor the vital water tank levels, remote gates opening and closing, flood levels, and temperature/humidity conditions. Developed a complete mobile platform for farmers. The mobile app enables farmers to monitor their tanks, gates, and temperature levels via the app in real-time. And mobile app alerts for min & max water levels, opened and closed gates, and temperature conditions. Get notified on both IOS and Android.",https://apps.apple.com/se/app/iota4u/id1634092295?l=en,sl0Z79SJ
The 5 Pillars,"The 5 pillars is a strategy created to help track and find the better investments by Carlos Magno.

Using the companies history in the last 5 years Carlos created a batch of rules that needs to be followed to keep investing in a certain company.

The app helps the user to identify a ranking of companies to invest in Brazil and also US.
Tags: Finance, Bubble.io, Carlos Magno, Os 5 Pilares, Stocks, Investment, Stocks, The 5 Pillars",https://5pilares.bubbleapps.io/version-test,pGrtzcyx
Management of Lunch - Ambev + Menegatti,"The innovative app built on bubble.io utilizing no-code skills has revolutionized the way one of Brazil's largest beverage companies manages its employee meal expenses. The app offers a comprehensive solution to a local restaurant for keeping track of every meal consumed by employees working at a construction site building a new local factory. The app seamlessly integrates with the restaurant's system, making the process of tracking meals an effortless task.

The app not only streamlines the tracking process but also provides real-time reporting to the beverage company, ensuring accuracy and accountability of all expenses. The company can now stay on top of all employee meal activity and expenses, saving time and resources previously spent on manual processes.
Tags: Bubble.io, QR Code, Management platform, Check-In App",https://bubble.io/appeditor/authenticate_as/gestaoderefeicoes/test/1676033294520x541709229975865500/true/home_restaurante,EKVoTc1v
Campfire,"Project Name :- Campfire
Technologies : React JS, Nodejs –Express js, Graph QL, Mysql, Mongodb, redisdb, Reactjs.
DESCRIPTION: Create live polls, quizzes, news, stories, and more to get real-time insights - regardless of your people being remote,
hybrid working, or facetoface.
RESPONSIBILITIES:
• Verifying work (code quality / performance) - done by downline
• Ensuring project wireframes/design to be pixel perfect
• Ensuring best use of inbuilt tools, third party libraries for
performance enhancement.
• Writing reusable codes
• Helping down line to solve the challenging issues.
• Delivery of tasks before timeline.
• Reviewing application requirements and interface designs.
• Identifying web-based user interactions.
• Developing and implementing highly responsive user interface components using react concepts.
• Writing application interface codes using JavaScript following react.js workflows",https://www.campfireapp.io/,USArOxYX
Petite Central,"Shopping search engine that allows users to type in a product keyword or category and it will return shopping results filtered to Petite sizes only for multiple shopping sites. 

Data sources include Ann Taylor, Loft, JCrew, Brooks Brothers and Amour Vert.

3rd party integration: Google Shopping SERP API",https://bubble.io/page?name=index&id=petite-central&tab=tabs-1,x8rDLKcr
CoverDoc.ai,"Who it’s for: Non-technical job seekers who need to write customized cover letters for job applications. 

The Problem: Job seekers spend a lot of time writing original, personalized cover letters for each job. This leads to inefficiency and longer time unemployed. Non-technical job seekers may not have easy access to AI tools such as ChatGPT.

Solution: I created a simple no-code app that creates a first draft cover letter that factors in your work experience, company info and your preferred writing style. The app leverages OpenAI to create a Google doc sent to the job seeker in under 10 minutes. The Google doc will show an Originality score to help the job seeker understand if major revisions are needed.

Demo account to try it out for free: https://app.coverdoc.ai/magic-authentication?magic-token=db610d09f4964e038fc39d6d3cfcf381",https://coverdoc.ai/,5JkDAiV4
